date,open,high,low,close,volume,diff,ration,real
2017/8/7,70.7,71.7,70.7,70.7,4947,-2.3,-0.032531825,0
2017/8/8,71,71.5,70.7,70.7,4003,-8.5,-0.120226308,0
2017/8/9,70.7,70.8,69.1,69.2,7782,-5.9,-0.085260116,0
2017/8/10,69.9,70.4,68.3,68.6,7993,-5.8,-0.084548105,0
2017/8/11,68.3,69.2,67.8,68.4,4760,-5.7,-0.083333333,0
2017/8/14,68,68.2,62,62.2,26511,0.3,0.004823151,1
2017/8/15,62.3,64.5,59.7,63.3,26473,-1.7,-0.02685624,1
2017/8/16,62.5,63.6,61.1,62.8,10081,4.4,0.070063694,2
2017/8/17,62.3,63.2,62.2,62.7,5423,2.6,0.041467305,2
2017/8/18,62,63,61.2,62.5,6135,3.1,0.0496,2
2017/8/21,62.5,62.5,61.3,61.6,4302,7.1,0.11525974,2
2017/8/22,62.3,67.7,62.1,67.2,25669,3.8,0.056547619,2
2017/8/23,67.7,67.8,65.1,65.3,10671,5.6,0.08575804,2
2017/8/24,65.3,66.8,65.3,65.6,5552,4.4,0.067073171,2
2017/8/25,66.6,71.2,66.4,68.7,22965,0,0,1
2017/8/28,70,72.7,70,71,19521,-2.1,-0.029577465,1
2017/8/29,70.9,72.5,69.6,70.9,11404,-2.3,-0.032440056,0
2017/8/30,71.6,71.8,69.8,70,7851,-1,-0.014285714,1
2017/8/31,70.5,70.7,68.7,68.7,7304,-0.2,-0.002911208,1
2017/9/1,68.5,69.5,68.2,68.9,5858,-4.9,-0.071117562,0
2017/9/4,69,70,68.4,68.6,4838,-1.9,-0.027696793,1
2017/9/5,69.1,69.3,67.2,69,6196,-3.1,-0.044927536,0
2017/9/6,68.1,70.3,68.1,68.5,7804,-2.6,-0.037956204,0
2017/9/7,63,65.1,63,64,20106,7.5,0.1171875,2
2017/9/8,67.5,68.1,66.1,66.7,16216,3.3,0.049475262,2
2017/9/11,65.9,67.5,65,65.9,8598,1.5,0.02276176,1
2017/9/12,66.8,66.9,65.2,65.9,5013,1.6,0.024279211,1
2017/9/13,66.6,72.4,65.7,71.5,44092,-3.9,-0.054545455,0
2017/9/14,71.9,71.9,70,70,15019,-0.7,-0.01,1
2017/9/15,70.1,71.5,67,67.4,12834,1.9,0.028189911,1
2017/9/18,68.5,68.7,67.1,67.5,7267,8.7,0.128888889,2
2017/9/19,68,68.4,67.2,67.6,4120,13.4,0.198224852,2
2017/9/20,67.8,69.6,67.6,69.3,12784,8.7,0.125541126,2
2017/9/21,69.3,69.3,69.3,69.3,0,4.7,0.067821068,2
2017/9/22,76.2,76.2,76.2,76.2,5483,-0.7,-0.009186352,1
2017/9/25,83.1,83.2,78,81,91784,-5.2,-0.064197531,0
2017/9/26,82.5,83.7,78,78,41065,-2.9,-0.037179487,0
2017/9/27,79.5,79.9,73.2,74,41224,0.3,0.004054054,1
2017/9/28,74.4,77,72.7,75.5,35018,-3,-0.039735099,0
2017/9/29,75.5,76.5,74.8,75.8,15564,-4.2,-0.055408971,0
2017/9/30,76.6,76.9,75,75.1,6916,-3.2,-0.042609854,0
2017/10/2,75.6,75.6,74.2,74.3,7573,-2.7,-0.036339166,0
2017/10/3,74.1,74.4,71.8,72.5,15162,-0.9,-0.012413793,1
2017/10/5,73,73.8,71.6,71.6,10744,1.5,0.020949721,1
2017/10/6,72.2,73.2,71.8,71.9,10054,0.9,0.012517385,1
